Iterations	Crammer (2 passages)	cross_entropy (4 passages)	GEL ( 4)	GLL (4)	Hinge (4)	Large_margin (m=1, 5 passages)	Large_margin (m=4, 1 passage)	Lee (4)	surrogate_double_hinge (2)	surrogate_exponential (2)	surrogate_hinge (3)	surrogate_hinge_squares (3)	surrogate_sigmoid (3)	surrogate_squares (3)
58000	0,1734169424	0,756990131	0,5780735947	0,7844623737	0,5732357604	0,7850740135	0,7777549326	0,7872378752	0,1005859375	0,2646998465	0,794682016	0,8094161203	0,180544138	0,8113692453
58500	0,1851356924	0,7782432139	0,6096062921	0,7688887753	0,5854684934	0,7762129933	0,760382399	0,7006321959	0,1004831493	0,2798622549	0,7913240145	0,812979718	0,1741022468	0,8184621731
59000	0,1806640625	0,7725637369	0,5361328162	0,7825606503	0,5679803165	0,7552631557	0,788445726	0,7171309628	0,1000719666	0,2247635722	0,8032826235	0,8078399152	0,0998835166	0,8014665594
59500	0,1985505819	0,765830595	0,5879163332	0,7822265662	0,5836310191	0,7662417769	0,8081825674	0,7470446192	0,0995065868	0,2981599569	0,7861156762	0,8200383782	0,1005345384	0,7891310304
60000	0,2218338847	0,8035310432	0,6464072838	0,777960524	0,6124331839	0,8003083855	0,7405427694	0,739591904	0,099557966	0,3139391541	0,805783997	0,8192502757	0,1003289421	0,7922149102
60500	0,2133018076	0,7773694471	0,6479749233	0,7480982728	0,5966861127	0,7916940778	0,802117601	0,7725637332	0,0993523896	0,4191509187	0,7988966554	0,7960526297	0,1003974676	0,8004043301
61000	0,2158717215	0,7870579809	0,6836965494	0,7717156671	0,6145854797	0,7881990135	0,8201069087	0,7311369255	0,0998149812	0,335886091	0,7979372243	0,8095531811	0,0997121731	0,8138020833
61500	0,1903783083	0,7758275084	0,6712068245	0,7739771791	0,6028474551	0,7815378278	0,7663445771	0,7528268918	0,1002261341	0,3348067403	0,7813870609	0,7986567964	0,1001576185	0,7893708895
62000	0,1987047493	0,7970805913	0,5017475225	0,7933542319	0,5727217738	0,77578125	0,7829975337	0,7581979819	0,1004317403	0,1506990194	0,8205180913	0,8093818525	0,0998834968	0,8102042228
62500	0,2131989896	0,7811215036	0,5551243871	0,7900904603	0,5848838352	0,7982113481	0,7646998316	0,7483038679	0,1001747549	0,3394839764	0,7993421058	0,804687495	0,1000205676	0,8141104728
